"last_name, first_name",player_id,year,p_formatted_ip,pa,hit,home_run,strikeout,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,p_earned_run,p_run,p_out,p_win,p_loss,p_era,p_lob,p_rbi,p_ab_scoring,p_called_strike,p_swinging_strike,p_total_ball,p_total_strike,p_total_swinging_strike,p_inh_runner,xba,xslg,woba,xwoba,xobp,sweet_spot_percent,barrel_batted_rate,solidcontact_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,whiff_percent,swing_percent,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,n_cu_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,n_si_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,st_avg_speed,st_avg_spin,st_avg_break_x,st_avg_break_z
"Crochet, Garrett",676979,2024,146,595,123,18,209,35.1,5.5,0.222,0.371,0.271,0.642,58,61,438,6,12,3.58,98,53,109,348,384,773,1622,389,0,0.203,0.339,0.28,0.262,0.254,34.5,9.2,5.5,38.8,76.53627192,94.14612747,33.1,53.2,53.6,97.2,2500,8.1,-13.5,1.4,,,,,,5.9,91,2082,15.9,-24.1,,,,,,2.2,97.9,2518,15.5,-20.3,28.5,91.5,2603,-3.8,-26.7,,,,,,,,,,,84.2,2455,-14.4,-39.3
"Rea, Colin",607067,2025,159.1,662,155,20,127,19.2,6.6,0.258,0.413,0.312,0.725,70,73,478,11,7,3.95,114,67,105,440,228,887,1647,233,1,0.265,0.429,0.314,0.328,0.321,38.8,10.3,6.8,41,79.31218113,94.44368251,22,47.6,42.1,93.8,2194,-8.5,-17.1,1.1,10.2,85.2,2219,4,-39.5,,,,,,9.2,80.3,2210,10.2,-50,10,93.1,2153,-14.9,-23.5,7.3,88.2,2209,1.6,-27.2,12.1,87.4,1418,-13.3,-36.1,,,,,,82.8,2449,13.8,-38
"Fried, Max",608331,2024,174.1,714,146,13,166,23.2,8,0.226,0.315,0.295,0.61,63,71,523,11,10,3.25,119,61,120,487,258,1007,1755,284,0,0.245,0.359,0.273,0.299,0.312,30.4,5,4.3,34.6,73.87129218,93.36271584,24.1,45.9,32.3,93.9,2225,-0.2,-19.8,1.7,5.9,83.6,2619,-5.1,-43.7,13.7,85.7,1421,12.1,-32.7,20.9,74.6,2840,-10.5,-66.6,16.6,93.5,2040,10.2,-22.8,4.9,88.3,2355,-3.1,-31.8,,,,,,,,,,,80.5,2821,-16.2,-50.3
"Falter, Bailey",663559,2025,125.1,518,115,19,81,15.6,8.9,0.248,0.433,0.315,0.748,62,68,376,7,7,4.45,80,56,97,330,139,705,1246,146,0,0.267,0.455,0.324,0.34,0.332,32.3,9.5,7.2,45.1,79.79324244,94.94915832,18.1,47,47,92.2,2118,3.5,-13.7,1.2,18,85.1,2047,-4.7,-31.3,,,,,,13.6,78,1872,-3.7,-47,13.7,92.1,2073,7.6,-14.3,,,,,,7.7,85.3,933,3.8,-27.1,,,,,,,,,
"Sale, Chris",519242,2024,177.2,702,141,9,225,32.1,5.6,0.216,0.319,0.269,0.588,47,48,533,18,3,2.38,126,42,133,512,379,924,1891,397,0,0.213,0.317,0.26,0.261,0.266,34.9,5.6,4.9,31.2,75.01680509,93.04619066,31,49,38.2,94.8,2240,14.9,-20.5,1.8,40.3,78.6,2334,-11,-49.3,14.2,86.9,1881,16.2,-36.2,,,,,,7.3,93.9,2088,17.8,-28.5,,,,,,,,,,,,,,,,,,,
"Berríos, José",621244,2024,192.1,786,168,31,153,19.5,6.9,0.235,0.406,0.3,0.706,77,79,577,16,11,3.6,141,77,133,548,245,1004,1910,262,0,0.265,0.44,0.308,0.334,0.327,36.3,7.8,7.3,41.8,79.08783914,94.18844993,21.1,46.7,18.6,94.1,2164,-9.6,-16,1.4,,,,,,16,84.8,1588,-14.5,-33.4,,,,,,33.4,93.4,2049,-15.8,-20.4,3.5,91.4,2257,-1.4,-21.3,,,,,,,,,,,,,,
"Lynn, Lance",458681,2024,117.1,511,113,16,109,21.3,8.6,0.247,0.402,0.316,0.718,50,64,352,7,4,3.84,92,52,114,287,201,766,1273,203,0,0.262,0.454,0.314,0.34,0.329,37,10.5,6.5,39.3,77.57723469,94.25937946,24.1,48.4,47.3,92.3,2455,-4.1,-19,1.5,,,,,,6.3,84.8,1761,-13.9,-30.9,6.2,80.4,2527,6.7,-50.9,16.7,91.1,2378,-12.8,-24.8,22.3,88.1,2647,1.7,-29.6,,,,,,,,,,,82,2694,14.6,-41.2
"Greene, Hunter",668881,2024,150.1,611,96,12,169,27.7,9.3,0.183,0.298,0.283,0.581,46,47,451,9,5,2.75,108,44,108,350,326,916,1647,334,0,0.188,0.302,0.265,0.271,0.289,29,5.2,5.7,32.5,76.32124309,93.1671505,29.7,50.6,55.2,97.6,2378,-8.9,-12.2,1.5,34.6,86.8,2378,6.1,-32.3,,,,,,1.8,81.1,2377,11.5,-42,0,100,2968,-11.6,-13,,,,,,8.3,87,1202,-9.1,-31.7,,,,,,,,,
"Stone, Gavin",694813,2024,140.1,580,133,18,116,20,6.4,0.248,0.402,0.297,0.699,55,55,421,11,5,3.53,102,49,106,321,236,746,1407,250,0,0.253,0.395,0.304,0.306,0.303,32.5,6.4,4.5,36.2,77.1074401,93.70292555,24.7,50.4,25.7,94.9,2237,-8.6,-14,1.3,14.8,88.8,2084,2.4,-33.6,26.7,87.5,1665,-13.8,-30.2,4.2,83.3,2319,2.7,-45.6,21.6,95.3,2093,-14.7,-17.9,5.3,92.3,2341,-1.5,-20.5,,,,,,,,,,,87.7,2242,8.6,-36
"Paddack, Chris",663978,2025,158,670,166,31,112,16.7,5.5,0.268,0.483,0.308,0.791,94,98,474,5,12,5.35,96,91,110,353,229,896,1669,239,3,0.278,0.478,0.336,0.343,0.32,35.9,10.2,8.7,45.6,79.94424231,95.13075945,20.7,51.3,44.2,93.7,2241,-8.9,-13.2,1.6,9,85.6,1984,2.9,-31.5,23.5,84.5,1808,-14.9,-33.9,11.9,78.2,2112,5.5,-58.1,4.4,93.5,2135,-13.6,-17.1,7,88.6,2031,0.5,-24.3,,,,,,,,,,,,,,
